UPC,ePID,Title,Brand,Format,Genre,Release Year,Actors,Directors,Studio,Rating,Primary Image URL,Product Web URL,Fetched At
043396526372,3384801,"The Age of Innocence (DVD, 2001)",,DVD,Drama,2001,"Daniel Day-Lewis, Michelle Pfeiffer",Martin Scorsese,,G,https://i.ebayimg.com/images/g/9~EAAMXQTgZQ9fad/s-l640.jpg,https://www.ebay.com/p/3384801,2026-03-13T23:04:53.437610
826663165111,9046026810,"The Bible Stories: Esther (DVD, 1999)",,DVD,TV Mini-Series,1999,,Raffaele Mertes,Shout! Factory,NR,https://i.ebayimg.com/00/s/NTAwWDM1Mw==/z/WUcAAOSwenBghuQw/$_57.JPG,https://www.ebay.com/p/9046026810,2026-03-13T23:04:53.436925
043396526372,17071201750,"Age of Innocence (DVD, 1993)",,DVD,Drama,1993,,Martin Scorsese,Sony Pictures,PG,https://i.ebayimg.com/images/g/6fIAAOSwlvtm1vbr/s-l1600.jpg,https://www.ebay.com/p/17071201750,2026-03-13T23:04:53.436036
031398195511,12046025942,"Blood Ties (DVD, 2013)",,DVD,Drama,2013,,Guillaume Canet,LIONSGATE,R,https://i.ebayimg.com/00/s/NTAwWDM1Nw==/z/iHwAAOSw4AhghuPB/$_57.JPG,https://www.ebay.com/p/12046025942,2026-03-13T23:04:53.434921
043396424531,17046029867,"Cold Comes the Night (DVD, 2013)",,DVD,Action & Adventure,2013,,Tze Chun,Sony Pictures,R,https://i.ebayimg.com/00/s/NTAwWDM2OA==/z/X1EAAOSwooJghuSe/$_57.JPG,https://www.ebay.com/p/17046029867,2026-03-13T23:04:53.433721
043396424098,17046033927,"Absolute Deception (DVD, 2013)",,DVD,Action & Adventure,2013,,Brian Trenchard-Smith,Sony Pictures,R,https://i.ebayimg.com/00/s/NTAwWDM3MA==/z/A-sAAOSwX1VghuTK/$_57.JPG,https://www.ebay.com/p/17046033927,2026-03-13T23:04:53.432615
031398161530,18046035467,"Arbitrage (DVD, 2012)",,DVD,Mystery / Suspense,2012,,Nicholas Jarecki,LIONSGATE,R,https://i.ebayimg.com/00/s/NTAwWDQxMQ==/z/UE8AAOSwFopghuTF/$_57.JPG,https://www.ebay.com/p/18046035467,2026-03-13T23:04:53.431693
043396330221,19046037860,"Across the Universe (DVD, 2007)",,DVD,Drama,2007,,Julie Taymor,Sony Pictures,PG-13,https://i.ebayimg.com/00/s/NTAwWDM0OA==/z/2ucAAOSwyRVghuTh/$_57.JPG,https://www.ebay.com/p/19046037860,2026-03-13T23:04:53.430744
043396462991,25046022094,"Concussion (DVD, 2015)",,DVD,Drama,2015,,Peter Landesman,Sony Pictures,PG-13,https://i.ebayimg.com/00/s/NTAwWDM2OA==/z/de0AAOSw5KtghuO6/$_57.JPG,https://www.ebay.com/p/25046022094,2026-03-13T23:04:53.429786
043396465688,25046022467,"Risen (DVD, 2016)",,DVD,Drama,2016,,Kevin Reynolds,Sony Pictures,PG-13,https://i.ebayimg.com/00/s/NTAwWDM1MQ==/z/UzUAAOSwr0RghuPi/$_57.JPG,https://www.ebay.com/p/25046022467,2026-03-13T23:04:53.428058
